CaseID,PortName,State,PortCode,Border,Date,Measure,Total Number of Entries,Longitude,Latitude
458,Port Angeles,Washington,3007,US-Canada Border,6/1/2018,Buses,18,-123.4328,48.11365
459,Otay Mesa,California,2506,US-Mexico Border,6/1/2018,Trains,18,-117.05333,32.57333
460,Otay Mesa,California,2506,US-Mexico Border,5/1/2018,Trains,18,-117.05333,32.57333
461,Jackman,Maine,104,US-Canada Border,5/1/2018,Trains,18,-70.255,45.62389
462,San Luis,Arizona,2608,US-Mexico Border,5/1/2018,Buses,18,-114.78139,32.48694
463,Santa Teresa,New Mexico,2408,US-Mexico Border,5/1/2018,Buses,18,-106.67903,31.85
464,Sumas,Washington,3009,US-Canada Border,4/1/2018,Trains,18,-122.26361,49.00028
465,Otay Mesa,California,2506,US-Mexico Border,4/1/2018,Trains,18,-117.05333,32.57333
466,Oroville,Washington,3019,US-Canada Border,3/1/2018,Buses,18,-119.43444,48.93917
467,San Luis,Arizona,2608,US-Mexico Border,1/1/2018,Buses,18,-114.78139,32.48694
468,Port Angeles,Washington,3007,US-Canada Border,1/1/2018,Trucks,18,-123.4328,48.11365
469,Lukeville,Arizona,2602,US-Mexico Border,1/1/2018,Trucks,18,-112.815,31.8825
470,Northgate,North Dakota,3406,US-Canada Border,1/1/2018,Trains,18,-102.39634,48.89848
471,Santa Teresa,New Mexico,2408,US-Mexico Border,11/1/2018,Buses,19,-106.67903,31.85
472,Calais,Maine,115,US-Canada Border,11/1/2018,Buses,19,-67.27917,45.18889
473,Sumas,Washington,3009,US-Canada Border,9/1/2018,Trains,19,-122.26361,49.00028
474,Calexico East,California,2507,US-Mexico Border,9/1/2018,Trains,19,-115.48433,32.67524
475,Scobey,Montana,3309,US-Canada Border,8/1/2018,Trucks,19,-105.44272,48.80707
476,Otay Mesa,California,2506,US-Mexico Border,8/1/2018,Trains,19,-117.05333,32.57333
477,Calais,Maine,115,US-Canada Border,7/1/2018,Trains,19,-67.27917,45.18889
478,Houlton,Maine,106,US-Canada Border,7/1/2018,Buses,19,-67.84083,46.12611
479,Calais,Maine,115,US-Canada Border,6/1/2018,Trains,19,-67.27917,45.18889
480,Jackman,Maine,104,US-Canada Border,6/1/2018,Trains,19,-70.255,45.62389
481,Opheim,Montana,3317,US-Canada Border,4/1/2018,Trucks,19,-106.40265,48.85574
482,Calexico East,California,2507,US-Mexico Border,3/1/2018,Trains,19,-115.48433,32.67524
483,San Luis,Arizona,2608,US-Mexico Border,3/1/2018,Buses,19,-114.78139,32.48694
484,Jackman,Maine,104,US-Canada Border,2/1/2018,Trains,19,-70.255,45.62389
485,Otay Mesa,California,2506,US-Mexico Border,1/1/2018,Trains,19,-117.05333,32.57333
486,International Falls-Ranier,Minnesota,3604,US-Canada Border,12/1/2018,Buses,20,-93.41083,48.60111
487,Lukeville,Arizona,2602,US-Mexico Border,12/1/2018,Trucks,20,-112.815,31.8825
488,Calexico East,California,2507,US-Mexico Border,12/1/2018,Trains,20,-115.48433,32.67524
489,Scobey,Montana,3309,US-Canada Border,12/1/2018,Trucks,20,-105.44272,48.80707
490,Santa Teresa,New Mexico,2408,US-Mexico Border,10/1/2018,Buses,20,-106.67903,31.85
491,Morgan,Montana,3319,US-Canada Border,10/1/2018,Trucks,20,-107.85719,48.78541
492,San Luis,Arizona,2608,US-Mexico Border,8/1/2018,Buses,20,-114.78139,32.48694
493,Lukeville,Arizona,2602,US-Mexico Border,8/1/2018,Trucks,20,-112.815,31.8825
494,Sumas,Washington,3009,US-Canada Border,8/1/2018,Buses,20,-122.26361,49.00028
495,Morgan,Montana,3319,US-Canada Border,6/1/2018,Trucks,20,-107.85719,48.78541
496,Calexico East,California,2507,US-Mexico Border,6/1/2018,Trains,20,-115.48433,32.67524
497,Vanceboro,Maine,105,US-Canada Border,6/1/2018,Trains,20,-67.42955,45.55984
498,Point Roberts,Washington,3017,US-Canada Border,6/1/2018,Buses,20,-123.07994,48.96978
499,Highgate Springs-Alburg,Vermont,212,US-Canada Border,6/1/2018,Trains,20,-73.10583,44.97944
500,Vanceboro,Maine,105,US-Canada Border,5/1/2018,Trains,20,-67.42955,45.55984
501,Houlton,Maine,106,US-Canada Border,3/1/2018,Buses,20,-67.84083,46.12611
502,Calexico East,California,2507,US-Mexico Border,2/1/2018,Trains,20,-115.48433,32.67524
503,Jackman,Maine,104,US-Canada Border,1/1/2018,Trains,20,-70.255,45.62389
504,Sumas,Washington,3009,US-Canada Border,12/1/2018,Buses,21,-122.26361,49.00028
505,Del Bonita,Montana,3322,US-Canada Border,12/1/2018,Trucks,21,-112.32481,48.63274
506,Calexico East,California,2507,US-Mexico Border,11/1/2018,Trains,21,-115.48433,32.67524
507,Jackman,Maine,104,US-Canada Border,11/1/2018,Trains,21,-70.255,45.62389
508,Boundary,Washington,3015,US-Canada Border,11/1/2018,Trains,21,-117.89655,48.54648
509,Highgate Springs-Alburg,Vermont,212,US-Canada Border,11/1/2018,Trains,21,-73.10583,44.97944
510,Portal,North Dakota,3403,US-Canada Border,11/1/2018,Buses,21,-102.54917,48.99583
511,Jackman,Maine,104,US-Canada Border,10/1/2018,Trains,21,-70.255,45.62389
512,Calexico East,California,2507,US-Mexico Border,10/1/2018,Trains,21,-115.48433,32.67524
513,Otay Mesa,California,2506,US-Mexico Border,10/1/2018,Trains,21,-117.05333,32.57333
514,Del Bonita,Montana,3322,US-Canada Border,9/1/2018,Trucks,21,-112.32481,48.63274
515,Jackman,Maine,104,US-Canada Border,9/1/2018,Trains,21,-70.255,45.62389
516,International Falls-Ranier,Minnesota,3604,US-Canada Border,9/1/2018,Buses,21,-93.41083,48.60111
517,Vanceboro,Maine,105,US-Canada Border,9/1/2018,Trains,21,-67.42955,45.55984
518,Houlton,Maine,106,US-Canada Border,8/1/2018,Buses,21,-67.84083,46.12611
519,Jackman,Maine,104,US-Canada Border,8/1/2018,Trains,21,-70.255,45.62389
520,Calexico East,California,2507,US-Mexico Border,8/1/2018,Trains,21,-115.48433,32.67524
521,Vanceboro,Maine,105,US-Canada Border,7/1/2018,Trains,21,-67.42955,45.55984
522,Calexico East,California,2507,US-Mexico Border,7/1/2018,Trains,21,-115.48433,32.67524
523,International Falls-Ranier,Minnesota,3604,US-Canada Border,6/1/2018,Buses,21,-93.41083,48.60111
524,Pinecreek,Minnesota,3425,US-Canada Border,5/1/2018,Trucks,21,-95.81074,48.77518
525,Pinecreek,Minnesota,3425,US-Canada Border,4/1/2018,Trucks,21,-95.81074,48.77518
526,Calexico East,California,2507,US-Mexico Border,4/1/2018,Trains,21,-115.48433,32.67524
527,Lukeville,Arizona,2602,US-Mexico Border,4/1/2018,Trucks,21,-112.815,31.8825
528,Houlton,Maine,106,US-Canada Border,4/1/2018,Buses,21,-67.84083,46.12611
529,Jackman,Maine,104,US-Canada Border,3/1/2018,Trains,21,-70.255,45.62389
530,Metaline Falls,Washington,3025,US-Canada Border,3/1/2018,Buses,21,-117.36037,48.85798
531,Oroville,Washington,3019,US-Canada Border,2/1/2018,Buses,21,-119.43444,48.93917
532,Calexico East,California,2507,US-Mexico Border,1/1/2018,Trains,21,-115.48433,32.67524
533,Alexandria Bay,New York,708,US-Canada Border,12/1/2018,Buses,22,-75.91806,44.33583
534,Vanceboro,Maine,105,US-Canada Border,12/1/2018,Trains,22,-67.42955,45.55984
535,Calais,Maine,115,US-Canada Border,8/1/2018,Trains,22,-67.27917,45.18889
536,Highgate Springs-Alburg,Vermont,212,US-Canada Border,7/1/2018,Trains,22,-73.10583,44.97944
537,Sweetgrass,Montana,3310,US-Canada Border,7/1/2018,Buses,22,-111.95972,48.99611
538,Santa Teresa,New Mexico,2408,US-Mexico Border,6/1/2018,Buses,22,-106.67903,31.85
539,Ogdensburg,New York,701,US-Canada Border,6/1/2018,Buses,22,-75.48167,44.70667
540,Boundary,Washington,3015,US-Canada Border,6/1/2018,Trains,22,-117.89655,48.54648
541,Houlton,Maine,106,US-Canada Border,5/1/2018,Buses,22,-67.84083,46.12611
542,Calexico East,California,2507,US-Mexico Border,5/1/2018,Trains,22,-115.48433,32.67524
543,Vanceboro,Maine,105,US-Canada Border,4/1/2018,Trains,22,-67.42955,45.55984
544,Lukeville,Arizona,2602,US-Mexico Border,3/1/2018,Trucks,22,-112.815,31.8825
545,Frontier,Washington,3020,US-Canada Border,3/1/2018,Buses,22,-117.78134,48.91016
546,Boundary,Washington,3015,US-Canada Border,1/1/2018,Trucks,22,-117.89655,48.54648
547,Santa Teresa,New Mexico,2408,US-Mexico Border,12/1/2018,Buses,23,-106.67903,31.85
548,Opheim,Montana,3317,US-Canada Border,11/1/2018,Trucks,23,-106.40265,48.85574
549,Morgan,Montana,3319,US-Canada Border,11/1/2018,Trucks,23,-107.85719,48.78541
550,Del Bonita,Montana,3322,US-Canada Border,11/1/2018,Trucks,23,-112.32481,48.63274
